Station Code,Station ID,English Name,Latitude,Longitude,Minutes,Line Code,
QUB,32,Quarry Bay,22.2882652,114.2090338,5,TKL,
NOP,31,North Point,22.2904837,114.2005605,3,TKL,
,,,,,29,,
TSW,25,Tsuen Wan,22.3683642,114.1099384,-,TWL,
TWH,24,Tai Wo Hau,22.3708,114.125,3,TWL,
KWH,23,Kwai Hing,22.3632,114.1312,3,TWL,
KWF,22,Kwai Fong,22.3569,114.1279,3,TWL,
LAK,21,Lai King,22.3484,114.1261,4,TWL,
MEF,20,Mei Foo,22.3388904,114.136522,3,TWL,
LCK,19,Lai Chi Kok,22.3373,114.1482,3,TWL,
CSW,18,Cheung Sha Wan,22.3354,114.1563,3,TWL,
SSP,17,Sham Shui Po,22.3307,114.1623,3,TWL,
PRE,16,Prince Edward,22.3245,114.1683,3,TWL,
MOK,6,Mong Kok,22.3191,114.1694,3,TWL,
YMT,5,Yau Ma Tei,22.3129,114.1707,3,TWL,
JOR,4,Jordan,22.3049,114.1718,3,TWL,
TST,3,Tsim Sha Tsui,22.2973,114.1722,3,TWL,
ADM,2,Admiralty,22.2788,114.1646,5,TWL,
CEN,1,Central,22.282,114.1576,3,TWL,
,,,,,48,,
SOH,89,South Horizons,22.2425,114.1491,-,SIL,
LET,88,Lei Tung,22.2421,114.1562,4,SIL,
WCH,87,Wong Chuk Hang,22.248,114.1681,4,SIL,
OCP,86,Ocean Park,22.2486,114.1743,4,SIL,
ADM,2,Admiralty,22.2788,114.1646,6,SIL,
,,,,,18,,
CEN,1,Central,22.282,114.1576,-,WLK,
HOK,44,Hong Kong,22.2851469,114.1584546,8,WLK ,
TST,3,Tsim Sha Tsui,22.2973,114.1722,-,WLK,
ETS,80,East Tsim Sha Tsui,22.2952166,114.1746402,6,WLK,
